wdidx, widx
21, 6330
21, 6594
21, 6594
21, 6745
22, 440
22, 547
22, 791
22, 1136
22, 1382
22, 1507
22, 1560
22, 2134
22, 2330
22, 2485
22, 2491
22, 3091
22, 3288
22, 3671
22, 3923
22, 4474
22, 4673
22, 4740
22, 4740
22, 4740
22, 4932
22, 4948
22, 4995
22, 5030
22, 5040
22, 5040
22, 5242
22, 5354
22, 5506
22, 5509
22, 5509
22, 5509
22, 5573
22, 5715
22, 5752
22, 5854
22, 5882
22, 5884
22, 5884
22, 5929
22, 5952
22, 6459
22, 6514
22, 6536
22, 6721
22, 6721
22, 6721
22, 6721
22, 6730
22, 6746
23, 66
23, 66
23, 66
23, 66
23, 141
23, 338
23, 391
23, 413
23, 630
23, 676
23, 714
23, 761
23, 1003
23, 1277
23, 1438
23, 1438
23, 1740
23, 1820
23, 1859
23, 1859
23, 1859
23, 1986
23, 2013
23, 2695
23, 3037
23, 3037
23, 3092
23, 3092
23, 3145
23, 3145
23, 3145
23, 3145
23, 3145
23, 3145
23, 3145
23, 3145
23, 3145
23, 3364
23, 3364
23, 3447
23, 3552
23, 3639
23, 3728
23, 3749
23, 3861
23, 4297
23, 4297
23, 4297
23, 4297
23, 4297
23, 4297
23, 4297
23, 4297
23, 4297
23, 4297
23, 4297
23, 4297
23, 4382
23, 4382
23, 4382
23, 4395
23, 4520
23, 4635
23, 4668
23, 4745
23, 4766
23, 4819
23, 4887
23, 4957
23, 4986
23, 5237
23, 5355
23, 5355
23, 5355
23, 5370
23, 5422
23, 5524
23, 5604
23, 5604
23, 5621
23, 5683
23, 5688
23, 5693
23, 5715
23, 5715
23, 5844
23, 5846
23, 5908
24, 13
24, 80
24, 132
24, 359
24, 492
24, 515
24, 844
24, 1112
24, 1120
24, 1135
24, 1347
24, 1697
24, 1697
24, 1699
24, 1811
24, 2013
24, 2112
24, 2137
24, 2184
24, 2188
24, 2311
24, 2436
24, 2744
24, 3047
24, 3047
24, 3047
24, 3275
24, 3400
24, 3479
24, 3509
24, 3671
24, 3671
24, 3934
24, 4132
24, 4143
24, 4424
24, 4484
24, 4745
24, 5046
24, 5153
24, 5225
24, 5582
24, 5739
24, 5739
24, 5806
24, 5853
24, 5863
24, 6536
24, 6594
25, 575
25, 687
25, 1201
25, 1201
25, 1271
25, 1322
25, 1374
25, 1426
25, 2246
25, 2959
25, 3380
25, 3671
25, 3861
25, 3867
25, 4367
25, 4400
25, 4400
25, 4403
25, 5037
25, 5492
25, 5492
25, 5909
25, 6572
25, 6592
25, 6594
25, 6594
25, 6594
25, 6596
25, 6600
25, 6642
26, 407
26, 744
26, 794
26, 794
26, 794
26, 794
26, 794
26, 794
26, 794
26, 794
26, 890
26, 891
26, 891
26, 1013
26, 1239
26, 1277
26, 1507
26, 2179
26, 2227
26, 2533
26, 2699
26, 2749
26, 3246
26, 3442
26, 3473
26, 3490
26, 3490
26, 3516
26, 3671
26, 3764
26, 4007
26, 4269
26, 4491
26, 4491
26, 4527
26, 4828
26, 4887
26, 5049
26, 5547
26, 6347
26, 6465
26, 6702
26, 6729
26, 6730
26, 6730
26, 6730
26, 6730
26, 6730
26, 6730
27, 62
27, 67
27, 395
27, 527
27, 527
27, 740
27, 976
27, 1001
27, 1146
27, 1227
27, 1422
27, 1422
27, 1422
27, 1426
27, 1540
27, 1542
27, 1542
27, 1754
27, 1769
27, 2120
27, 2179
27, 2179
27, 2179
27, 2404
27, 2404
27, 2432
27, 2688
27, 2914
27, 3118
27, 3118
27, 3118
27, 3119
27, 3119
27, 3204
27, 3816
27, 3861
27, 3861
27, 3861
27, 3876
27, 3876
27, 3876
27, 3876
27, 3876
27, 4098
27, 4613
27, 4657
27, 4832
27, 5088
27, 5490
27, 5492
27, 5492
27, 5548
27, 5548
27, 5548
27, 6015
27, 6015
27, 6061
27, 6205
27, 6209
27, 6267
27, 6267
27, 6305
27, 6308
27, 6516
27, 6516
27, 6594
27, 6594
27, 6594
27, 6594
27, 6612
27, 6612
28, 527
28, 527
28, 527
28, 527
28, 999
28, 1288
28, 1464
28, 1882
28, 1882
28, 2090
28, 2542
28, 2778
28, 3144
28, 3145
28, 3145
28, 3323
28, 3323
28, 3323
28, 3488
28, 3583
28, 3620
28, 3620
28, 4597
28, 5204
28, 5598
28, 5604
28, 5604
28, 5605
28, 5844
28, 6210
28, 6210
28, 6213
28, 6247
28, 6248
28, 6675
29, 1120
29, 1471
29, 1846
29, 2436
29, 2587
29, 2587
29, 3071
29, 3785
29, 4524
29, 4928
29, 5355
29, 5604
29, 5889
29, 6167
29, 6167
29, 6167
29, 6674
30, 466
30, 668
30, 668
30, 668
30, 909
30, 1367
30, 1424
30, 2163
30, 2246
30, 2246
30, 2420
30, 2441
30, 2695
30, 3351
30, 3351
30, 3351
30, 3351
30, 3357
30, 3357
30, 3366
30, 3488
30, 3564
30, 3564
30, 3564
30, 3861
30, 4030
30, 4114
30, 4300
30, 4382
30, 4382
30, 6174
30, 6721
30, 6724
31, 1112
31, 2404
31, 3619
31, 3934
31, 4726
31, 5492
31, 5492
31, 5528
31, 5693
31, 6625
32, 358
32, 515
32, 527
32, 527
32, 527
32, 527
32, 1239
