wdidx, widx
102, 5921
102, 5921
102, 5388
103, 5890
103, 3069
103, 6721
103, 3170
103, 5890
103, 1754
104, 1227
104, 3288
104, 6730
104, 2186
104, 6022
104, 6050
105, 5458
105, 3642
105, 3851
105, 2161
105, 3801
105, 3801
105, 497
105, 1850
105, 1980
105, 1063
105, 164
106, 5475
106, 527
106, 6721
107, 5698
107, 1347
107, 952
107, 3400
107, 3445
107, 1016
107, 215
108, 507
108, 2488
108, 5588
108, 3861
108, 1507
109, 5866
109, 5989
109, 5309
109, 836
109, 647
109, 4740
109, 5191
109, 2189
109, 426
110, 3385
110, 6177
110, 2488
110, 1124
110, 6594
111, 6135
111, 5292
111, 156
111, 139
111, 2794
111, 3093
111, 5401
111, 6353
112, 4570
112, 4233
112, 6066
112, 4820
112, 3328
112, 5605
112, 6066
112, 132
112, 6133
112, 3743
113, 5457
113, 497
113, 2424
113, 2107
113, 1769
114, 6054
114, 1560
114, 6054
114, 5822
114, 6728
114, 1140
114, 4823
114, 6054
114, 18
114, 1140
115, 1715
115, 492
115, 4950
115, 492
115, 492
115, 497
115, 2436
115, 5271
115, 6617
115, 2737
116, 527
116, 2309
116, 3779
116, 5846
116, 527
116, 2446
117, 3644
117, 5846
117, 3261
117, 6594
117, 2290
117, 6594
117, 1203
117, 2264
117, 2290
117, 6153
118, 2013
118, 3889
118, 6478
118, 3889
118, 6536
119, 6724
119, 5633
119, 3192
119, 3351
119, 3351
119, 3403
119, 6724
119, 2578
119, 5707
120, 6210
120, 3596
120, 1560
120, 5818
120, 1718
120, 492
120, 885
121, 3121
121, 1471
121, 3551
121, 5346
121, 351
121, 159
121, 1354
121, 1982
122, 3851
122, 2641
122, 5546
122, 1437
122, 2766
122, 3851
122, 4400
122, 1586
122, 1824
122, 5546
122, 6594
122, 1824
123, 6075
123, 6594
123, 2920
123, 5929
123, 527
123, 4293
123, 2465
123, 6594
123, 6044
123, 4293
123, 3862
123, 3861
123, 6075
123, 2916
124, 4656
124, 6024
124, 6024
124, 5555
125, 2218
125, 1529
126, 3179
126, 250
126, 714
126, 2517
126, 4806
126, 6272
126, 6330
126, 2517
126, 2328
126, 4580
126, 2517
126, 4927
126, 5715
126, 5715
126, 250
126, 3579
126, 527
126, 4640
127, 4924
127, 4213
127, 5490
127, 6210
127, 3861
127, 5455
127, 6210
127, 1426
128, 5242
128, 5534
128, 5535
128, 5242
128, 3556
128, 3555
129, 6754
129, 3851
129, 5752
129, 527
129, 5457
129, 6415
129, 5604
129, 3781
130, 3256
130, 4367
130, 5921
130, 523
131, 4369
131, 5447
131, 4863
131, 5533
131, 1605
132, 4801
132, 3101
132, 2695
132, 1441
132, 6506
132, 5843
132, 190
133, 2295
133, 1986
133, 542
133, 2253
133, 5665
133, 441
133, 3988
133, 4030
133, 1656
133, 6366
134, 5614
134, 5946
134, 6536
134, 5614
134, 4115
134, 5614
134, 2482
134, 775
134, 2154
135, 2089
135, 6681
135, 6232
135, 4416
135, 2279
135, 3861
135, 2991
136, 3401
136, 3877
136, 3861
137, 2689
137, 2287
137, 384
137, 3400
137, 2290
137, 4185
137, 6078
137, 2420
137, 4098
137, 4997
137, 6570
138, 5680
138, 6736
138, 4780
138, 1390
138, 240
138, 836
138, 6737
139, 6594
139, 2
139, 5032
139, 6113
139, 3965
140, 1872
140, 5640
140, 4963
140, 5112
140, 4963
140, 6253
140, 6253
140, 2533
140, 3973
141, 1872
141, 5963
141, 465
141, 88
141, 2154
141, 1462
141, 612
141, 1908
141, 3576
141, 6625
141, 6478
141, 2533
141, 3934
141, 5941
141, 6746
141, 5107
141, 1292
141, 6514
141, 1522
